
UNIQUE_CARRIER,Description,Sum(PASSENGERS)
"K3","Venture Travel LLC d/b/a Taquan Air Service",21849
"K5","Seaport Airlines, Inc.",97513
"KAH","Kenmore Air Harbor",61080
"KAQ","Kalitta Air LLC",0
"KAT","Katmai Air",13348
"KD","Western Global",0
"KH","Aloha Air Cargo",0
"KLQ","Kalitta Charters II",0
"KO","Alaska Central Express",5310
"KS","Peninsula Airways Inc.",215833
"L2","Lynden Air Cargo Airlines",0
"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",13735
"LW","Pacific Wings Airlines",10173
"M6","Amerijet International",0
"MQ","Envoy Air",14696327
"MW","Mokulele Flight Services, Inc.",248092
"NA","North American Airlines",1917
"NC","Northern Air Cargo Inc.",0
"NEW","New England Airlines Inc.",24316
"NK","Spirit Air Lines",12560177
"NZ","Air New Zealand",320
"OH","PSA Airlines Inc.",5544124
"OO","SkyWest Airlines Inc.",25994653
"PFQ","Asia Pacific",0
"PH","Polynesian Airlines Ltd.",1138
"PM","Prescott Support Company, Inc.",0
"PO","Polar Air Cargo Airways",0
"PRQ","Florida West Airlines Inc.",0
"PT","Piedmont Airlines",3014470
"Q5","40-Mile Air",922
"QX","Horizon Air",6509444
"RP","Chautauqua Airlines Inc.",3158471
"RVQ","Reeve Air Alaska, LLC",378
"S2","Star Marianas Air Inc.",76550
"S5","Shuttle America Corp.",5514757
"SEB","Seaborne Virgin Islands, Inc.",201635
"SNK","Spernak Airways Inc.",9527
"SY","Sun Country Airlines d/b/a MN Airlines",1691426
"U7","USA Jet Airlines Inc.",0
"UA","United Air Lines Inc.",64796344
"US","US Airways Inc.",50685595
"V8","Iliamna Air Taxi",12798
"VI","Vieques Air Link Inc.",79587
"VIQ","Volga-Dnepr Airlines",0
"VX","Virgin America",6345013
"W8","Cargojet Airways Ltd.",0
"WE","Centurion Cargo Inc.",0
"WI","Sky Lease Cargo",0
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",62505
"WN","Southwest Airlines Co.",126745706
"WO (1)","World Airways Inc.",2654
"WP","Island Air Hawaii",448404
"WRD","Ward Air",31
"WST","Friday Harbor Seaplanes",2916
"X4","Air Excursions LLC",3890
"X9","Omni Air International LLC",92003
"XP","TEM Enterprises dba  Avelo Airlines",36610
"YR","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",248456
"YV","Mesa Airlines Inc.",8755105
"YX","Republic Airline",12786713
"Z3","Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",1526
"Z3Q","PM Air, LLC",53850
"ZK","Great Lakes Airlines",190248
"ZW","Air Wisconsin Airlines Corp",5555186
"ZX","Air Georgian",33
"All Rows","All Rows (including those not displayed)",665159505
